exp_id	parent_exp	depth	path	specialist	status	train_s	delta_vs_best	hypothesis
000		0	000	baseline	baseline	26.356000		calibrated baseline (1 trial, avg=26.356000)
001	000	1	000/001	arch	disqualified			Reduce block3 width 512→384 (~30% fewer FLOPs in final stage) + halve proxy widths 32/64/64→16/32/32 (~4× proxy speedup); both changes together target ~1–1.5s savings while main model retains sufficient capacity for ≥96% accuracy.
002	000	1	000/002	loss	disqualified			label_smoothing 0.2→0.1 (sharper CE targets) + train_epochs 45→44: one fewer epoch saves ~0.6s/seed; sharper targets provide cleaner gradient signal to compensate for reduced training time
003	000	1	000/003	aug	disqualified			Skip all 45 per-epoch intermediate val_acc evaluations (logging-only, tta_level=0; final accuracy comes from TTA eval). Removes 45×5=225 forward passes per seed, saving ~0.5–0.7 s/seed with zero accuracy cost.
004	000	1	000/004	opt	disqualified			train_epochs 45→43 + lr 9→11 (compensates convergence, validated in prior backup run at 0.9603 accuracy) + skip 43 intermediate non-TTA evals (saves ~1.7s/seed; evals are read-only logging and don't affect training or final TTA accuracy)
005	000	1	000/005	arch	disqualified			Halve proxy model widths 32/64/64→16/32/32 (~4× fewer proxy FLOPs); main model stays at 128/384/512 so accuracy is unaffected. Proxy trains same 45 epochs collecting masks, just with a 4× smaller model → saves proxy training time with zero capacity impact on the final classifier.
006	000	1	000/006	loss	disqualified			train_epochs 45→44 with label_smoothing=0.2 unchanged: pure epoch reduction saves ~0.6s/seed; ls=0.2 regularization retained to preserve the accuracy margin lost when combined with ls=0.1
007	000	1	000/007	aug	keep	26.131300	-0.224700	train_epochs 45→46 (one extra epoch to push accuracy above 96% gate: baseline achieves ~95.94% on our GPU) + skip 46 per-epoch val_acc evals (logging-only). Net: extra epoch costs ~0.31s, eval-skip saves ~0.55s → ~0.24s faster than baseline while clearing the acc gate.
012	007	2	000/007/012	aug	disqualified			Add within-batch mixup (λ~Uniform[0.5,1.0]) to main training loop + reduce train_epochs 46→45: mixup improves per-epoch generalization to recover the ~0.06% gap at 45 epochs, saving ~0.55s vs exp_007
008	000	1	000/008	opt	keep	25.436900	-0.694400	train_epochs 45→44 + lr 9→11 + skip 44 intermediate non-TTA evals: exp_004 (43ep) was disqualified at 0.9596 (0.0004 below gate); +1 epoch recovers accuracy while eval-skip saves ~1.7s/seed net
011	008	2	000/008/011	opt	discard	25.460300	+0.023400	train_epochs 44→43 + lr 11→12: exp_004 (43ep+lr=11) missed gate by 0.0004 (mean_acc=0.9596); +9% lr should bridge gap while saving ~0.55s vs exp_008
015	008	2	000/008/015	loss	disqualified			43 epochs + lr=11 + label-smoothing annealing (0.2→0.0 over last 25% of steps): exp_004 (43ep+lr=11, no loss change) was disqualified at 95.96%; annealing sharpens targets in last ~10 epochs to recover the ~0.04% accuracy gap while saving ~0.57s vs exp_008.
017	008	2	000/008/017	aug	disqualified			cutout 12→8 + train_epochs 44→43: exp_004 (43ep+lr=11+cutout=12) missed gate by 0.0004; smaller cutout (25% vs 37% pixel masking) gives cleaner gradient signal per example, aiming to close that gap while saving ~0.35s vs exp_008
018	008	2	000/008/018	opt	disqualified			43 epochs + lr=12 + cosine decay (replace linear cooldown with 0.5*(1+cos(π·progress))): cosine keeps lr higher mid-training for better convergence margin above 0.96 gate; 1 fewer epoch than exp_008 should save ~0.35s wall-clock
019	008	2	000/008/019	arch	disqualified			Stage-1 ConvGroup depth 3→2: remove conv3+norm3+residual from block1 (128ch, 15×15 maps) while keeping stages 2/3 at depth=3. Block1 learns low-level features where the extra residual depth is least critical; stages 2/3 (384/512ch) keep full depth for high-level representation. Rebased from exp_008 (44ep, lr=11, skip evals, max-autotune).
020	008	2	000/008/020	loss	discard	25.590800	+0.153900	43 epochs + lr=11 + PolyLoss ε=0.5: exp_004 (43ep+lr=11) missed gate by 0.0004; PolyLoss-1 with conservative ε=0.5 adds gentle hard-example gradient (1-p_t) to bridge the gap without the destabilisation that ε=1.0 caused in exp_009.
022	008	2	000/008/022	opt	disqualified			train_epochs 44→42 + lr 11→14 (linear decay preserved): 2 fewer epochs saves ~0.62s wall-clock; +3lr compensates convergence (pattern from data: 45→44 needed +2lr, 44→43 needed +1lr, so 43→42 needs ~+1–2lr; using +2 for safety margin)
023	008	2	000/008/023	aug	disqualified			cutout 12→16 + train_epochs 44→43: 43ep+cutout=12 missed gate by 0.0004 (exp_004); larger cutout (25% pixel masking vs 14%) forces stronger generalization that may bridge the gap, saving ~0.55s vs current best
024	008	2	000/008/024	arch	disqualified			Stage-1 depth 3→2 + lr 11→12: compensate accuracy loss from shallower block1 with higher LR. exp_019 (same arch, lr=11) disqualified at acc=0.9596 — missed gate by 0.00045. exp_011 (full-depth, 43ep, lr=12) passed gate. This combo: 44ep + lr=12 + stage1 depth=2 should recover accuracy while keeping the ~0.6s wall-clock saving from removing the stage-1 residual conv.
025	008	2	000/008/025	loss	disqualified			42 epochs + lr=11 + PolyLoss ε=1.0: exp_020 showed 43ep+PolyLoss ε=0.5 passes gate at acc=0.9601 (+0.0005 buffer); doubling ε to 1.0 and removing 1 more epoch should maintain accuracy while netting ~0.55s saving over exp_008 (2-epoch reduction minus PolyLoss compute overhead).
027	008	2	000/008/027	opt	disqualified			train_epochs 44→43 + lr 11→13: exp_011 (43ep+lr=12) barely passed gate at ~0.9600; +1lr to 13 gives ~+0.0004 acc headroom above gate while preserving the 1-epoch speed saving
028	008	2	000/008/028	aug	disqualified			TTA level 2→1 + cutout 12→14 on 44 epochs: reduce mirror+translate (6 forward passes) to mirror-only (2 passes) at eval, saving ~0.25s; increase cutout from 12→14 to compensate accuracy loss from weaker TTA.
029	008	2	000/008/029	arch	disqualified			Stage-3 ConvGroup depth 3→2: removes conv3+norm3+residual from block3 (512ch, 3×3 maps) saving ~5% training FLOPs; block1/block2 unchanged at depth=3. Only block1 depth reduction was tried before (exp_019, disqualified); block3 at 3×3 spatial is less critical spatially.
031	008	2	000/008/031	loss	disqualified			43ep + lr=11 + PolyLoss ε=1.0: exp_020 (43ep+ε=0.5) passed gate at acc=0.9601 but measured 25.59s (within noise of 25.44s best); exp_025 (42ep+ε=1.0) showed ε=1.0 is stable at lr=11 but needs one more epoch; 43ep+ε=1.0 targets more accuracy buffer than ε=0.5 at 43ep, with ~0.5s savings vs 44ep
032	008	2	000/008/032	opt	disqualified			proxy_epochs=10 (vs 44): proxy trains for 10 epochs and masks are cycled across all 44 main training steps — proxy at 10ep is already ~93%+ accurate for hard-example selection; the extra 34 proxy epochs are marginal and cost ~4s wall-clock
033	008	2	000/008/033	opt	disqualified			proxy_epochs=30 (vs 44): reduces mask cycling factor from 4.4x (10ep, acc=0.954) to 1.47x; linear extrapolation predicts acc drop ~0.001 → ~0.960; saves ~1.75s proxy time vs exp_008
035	008	2	000/008/035	aug	disqualified			CutMix (box=12px, alpha≈0.14) replaces cutout at 43 epochs + lr=12: cutout disabled in data loader, CutMix applied in training loop with mixed-label loss; stronger regularization vs cutout should maintain ≥96% accuracy at 43ep (exp_011 confirmed 43ep+lr=12 passes gate), saving ~0.4s vs exp_008
009	000	1	000/009	loss	disqualified			PolyLoss (CE + 1.0*(1-p_t), ICLR 2022) + label_smoothing=0.2 + train_epochs=44: extra hard-example gradient focus should recover the ~0.06% accuracy gap seen at 44 epochs pure CE (exp_006 was 0.960000 raw but just below gate)
010	000	1	000/010	reg	disqualified			ModelEMA (decay=0.9990, updated every 5 steps tracking post-lookahead weights) applied at final TTA eval + train_epochs 45→43: EMA smooths late-training weight noise to compensate for 2 fewer epochs.
013	000	1	000/013	reg	disqualified			ModelEMA (decay=0.9990, every-5-step update tracking post-lookahead weights) + train_epochs 45→43: EMA init moved to AFTER init_whitening_conv so whitening weights are correct in EMA clones.
014	000	1	000/014	arch	disqualified			Revert proxy widths to baseline (32/64/64) and switch torch.compile mode from max-autotune to reduce-overhead: reduces per-seed JIT compile cost via CUDA graphs instead of kernel benchmarking; all input shapes are static so CUDA graph capture is clean.
016	000	1	000/016	reg	disqualified			ModelEMA params-only (no BN buffers) decay=0.9990 + train_epochs 43: excludes BN running_mean/var from EMA to avoid zero-initialization contamination that corrupted exp_013.
021	000	1	000/021	reg	disqualified			Late-start ModelEMA (init at 50% training from well-trained state, decay=0.9990, params-only) + train_epochs 45→43: avoids Dirac/zero init contamination of earlier attempts.
026	000	1	000/026	reg	discard	26.156100	+0.719200	train_epochs 45→43, no EMA: diagnostic to confirm whether 43 epochs alone passes the 96% gate (EMA has been consistently corrupting accuracy in prior attempts).
030	000	1	000/030	reg	keep	25.225900	-0.211000	train_epochs 43 + eval every 5 epochs (skip 33 of 43 intermediate val_acc calls): ~1.3s wallclock saved since per-epoch eval is logging-only and doesn't affect training.
034	030	2	000/030/034	reg	disqualified			Remove all 43 per-epoch torch.cuda.synchronize() pipeline stalls + 10 remaining intermediate non-TTA evaluate() calls (every-5-epoch): same 43-epoch training, zero logging overhead during loop. Expected ~0.5-0.8s saving vs exp_030.
036	030	2	000/030/036	arch	disqualified			Block3 width 512→448 (12.5% reduction): saves ~4% total FLOPs on the largest compute stage (512ch at 3×3 spatial); airbench96_faster already reduced block2 512→384, analogous reduction on block3.
037	030	2	000/030/037	loss	disqualified			exp_030 base (43ep+lr=9): label_smoothing 0.2→0.15 (sharper targets, potential +accuracy margin) + skip all 10 remaining intermediate tta_level=0 evals (every-5-epoch→final-only, saves ~280ms wall-clock)
038	030	2	000/030/038	aug	preflight_crash			Skip all 42 intermediate per-epoch logging ops (train_acc.item, train_loss.item, val_acc eval, print) — only execute at final step: eliminates 9 remaining non-TTA evals + 84 GPU→CPU.item() sync stalls beyond exp_030's every-5-epoch schedule.
039	030	2	000/030/039	aug	preflight_crash			Skip all 42 intermediate per-epoch logging ops (train_acc.item, train_loss.item, val_acc eval, print) — only execute at final step: eliminates 9 remaining non-TTA evals + 84 GPU→CPU.item() sync stalls beyond exp_030's every-5-epoch schedule.
040	030	2	000/030/040	arch	preflight_crash			Block2 depth 3→2 with residual preserved (first-ever depth-2+residual trial): removes conv3+norm3 from block2 (384ch at 8×8 spatial, ~84M mult-adds/step saved) but keeps the shortcut connection, unlike all prior depth reductions which lost the residual too. Blocks 1 and 3 unchanged at depth=3; block3 width reverted to 512.
041	030	2	000/030/041	loss	disqualified			exp_030 base (43ep+lr=9+ls=0.20): remove final 10 intermediate tta_level=0 eval calls (every-5-epoch → final-TTA-only). Training dynamics identical to exp_030; saves ~280ms wall-clock from 10 non-TTA evaluate() calls that were still present in exp_030. Synchronize calls kept (unlike exp_034 which also removed those).
042	030	2	000/030/042	reg	disqualified			42 epochs + weight_decay 0.012→0.015: airbench94 used WD=0.015 for its wide network; stronger regularization may improve generalization by ~0.002, compensating for 1 fewer epoch (43→42) while staying ≥0.960. Saves ~0.6s → expected train_s ~24.6s.
043	030	2	000/030/043	opt	disqualified			Add Muon optimizer (Newton-Schulz orthogonalized updates, momentum=0.6) for all 4D conv weights in main model; SGD kept for biases/head/proxy. muon_lr=0.024 with same triangular schedule. Diagnostic: does orthogonalized gradient improve convergence quality at 43 epochs?
044	030	2	000/030/044	arch	disqualified			Block2 depth 3→2 with residual preserved: removes conv3+norm3 from block2 (384ch, 8×8 spatial) but keeps shortcut via residual=True override; all other blocks unchanged at depth=3, block3 width=512.
045	030	2	000/030/045	opt	disqualified			Muon muon_lr=0.002 (was 0.024, disqualified at acc=0.948): 12× reduction to match SGD effective per-step magnitude (~0.00115); same 43ep triangular schedule + weight renorm. Tests whether properly-scaled Muon maintains 96% gate.
046	030	2	000/030/046	reg	disqualified			42 epochs + stochastic depth drop_path=0.05 on all 3 residual stages (main net only): per-sample rescaled drop of F(x0) residual during training; no change at eval. Saves ~0.5s vs exp_030 if accuracy gate holds.
047	030	2	000/030/047	loss	discard	25.318800	+0.092900	exp_041 base (43ep+lr=9+no-intermediate-evals) + PolyLoss ε=0.5: CE + 0.5*(1-p_t) on the 512 hard-masked examples. exp_041 was disqualified (barely below gate, likely noise at 0.9601 mean). PolyLoss adds upward gradient pressure on hard examples to recover the accuracy margin; if gate passes, train_s ≈ exp_030 − 280ms eval savings ≈ 24.95s.
048	030	2	000/030/048	arch	disqualified			Block1 depth 3→2 with residual preserved: removes conv3+norm3 from block1 (128ch, 15×15 spatial) saving ~33M mults/step at the highest-spatial-FLOPs stage; all other blocks remain depth=3; exp_044 tried same for block2 (384ch, 7×7) but block1 hasn't been tried with residual variant.
049	030	2	000/030/049	aug	disqualified			Proxy aug without cutout (cutout=0 in proxy, cutout=12 in main): proxy ranks intrinsic example difficulty rather than occlusion-induced difficulty, potentially improving mask quality; also skip final non-TTA val_acc eval (logging-only ~30ms overhead).
050	030	2	000/030/050	reg	disqualified			42 epochs + drop_path=0 + Lookahead terminal alpha 0.95^5→0.95^2 (0.774→0.9025): stronger late-training weight averaging to recover the ~0.001-0.002 accuracy gap from one fewer epoch vs exp_030
051	030	2	000/030/051	opt	disqualified			Remove Muon weight renormalization + muon_lr=0.002→0.024: renorm (p.data.mul_(sqrt(C_out)/p.norm()) forced per-step) dominated both prior Muon trials at wildly different lr values — reference airbench94_muon never renormalizes. Without renorm, lr controls the actual step size and matches reference energy scale.
052	030	2	000/030/052	loss	discard	25.779600	+0.553700	exp_030 base + label_smoothing 0.20→0.25 + remove all 9 intermediate evals: higher smoothing (stronger regularization) should maintain acc above 0.96 without the every-5-epoch eval calls, saving ~360ms vs exp_030 with a clean CE graph (no PolyLoss overhead).
053	030	2	000/030/053	arch	disqualified			Block3 depth 3→2 with residual preserved: removes conv3+norm3 from block3 (512ch, 3×3 spatial) saving ~21M FLOPs/example in the widest stage. Residual=True added via new depth_block3 override in make_net — unlike exp_029 which used default residual=False. Proxy and blocks 1/2 unchanged.
054	030	2	000/030/054	opt	disqualified			42 epochs (−1) + cosine LR decay + lr 9→10: cosine schedule keeps LR higher than linear in the first half of the decay phase (~0.794 vs 0.700 at 30% through decay), providing more effective gradient signal to compensate for the 1-fewer-epoch deficit that caused all prior 42ep attempts to miss by ~0.001.
055	030	2	000/030/055	aug	preflight_crash			Mixup (α=0.2, lam~U[0.5,1.0]) applied to hard-example batch after proxy mask: mixes two hard examples per step, creating harder intermediate training signal. No epoch/lr change from exp_030. Expected: marginal accuracy boost (~+0.1–0.2%) providing headroom for 42-epoch follow-up.
056	030	2	000/030/056	reg	disqualified			42 epochs + WD 0.012→0.010 + restore Lookahead alpha 0.9025→0.7738 (exp_030 original): WD tuned for 45ep, reduce for 42ep to compensate lower regularization dose; exp_050's stronger Lookahead failed, reverting to proven alpha.
057	030	2	000/030/057	loss	disqualified			exp_030 base (43ep+ls=0.20+every-5-epoch-evals) → 42ep + PolyLoss ε=0.5: one fewer epoch saves ~0.59s; PolyLoss CE+0.5*(1-p_t) provides +acc margin to compensate. exp_047 showed PolyLoss ε=0.5 at 43ep passes acc gate; 42ep saves ~0.59s so net expected ≈ 24.7s.
058	030	2	000/030/058	aug	disqualified			Mixup (lam~U[0.5,1.0]) on hard-example batch post proxy-mask: mixes pairs of hard examples per step. Fix for exp_055 preflight_crash (added mixup_alpha to loader's allowed-key set). No epoch/lr change from exp_030; purpose is measuring accuracy headroom for a 42-epoch follow-up.
059	030	2	000/030/059	arch	preflight_crash			Block2 wider+shallower: width 384→448 (+17%) with depth 3→2 (residual=True). exp_044 (384ch depth=2 residual) was disqualified — accuracy gap ~0.05-0.1%. Widening channels compensates capacity loss while still saving ~20% block2 FLOPs (one fewer 448×448×3×3@8×8 conv). Block3 conv1 is slightly costlier (448→512 vs 384→512) but net should be ~15% fewer total FLOPs → ~2-3s faster.
060	030	2	000/030/060	opt	disqualified			42 epochs (−1 from exp_030) + lr 9→11 (linear decay unchanged): exp_008 confirmed lr=11 works at 44ep; same kilostep-normalized effective step now applied 2 fewer epochs, saving ~0.56s if gate passes.
061	030	2	000/030/061	loss	disqualified			42ep + PolyLoss ε=1.0 (lr=9): exp_057 (ε=0.5) was disqualified at acc=0.9598 (0.0002 below gate); stronger ε=1.0 should push ~+0.001 accuracy to clear threshold while still saving ~0.5s vs best 43ep.
062	030	2	000/030/062	arch	disqualified			Block2 wider+shallower: width 384→448 (+17%) with depth 3→2 (residual=True). exp_044 (384ch depth=2 residual) was disqualified — accuracy gap ~0.05-0.1%. Widening channels compensates capacity loss while still saving ~20% block2 FLOPs (one fewer 448×448×3×3@8×8 conv). Block3 conv1 slightly costlier (448→512 vs 384→512) but net ~15% fewer total FLOPs → ~2-3s faster.
063	030	2	000/030/063	reg	disqualified			42 epochs + WD=0.012 + shadow EMA (decay=0.9965/step, half-life≈4 epochs): per-step FP32 EMA of model weights, loaded only at final TTA eval. Lookahead copies back (fast averaging) but shadow EMA maintains a separate slower trajectory average that should recover the ~0.001 accuracy gap killing 42-epoch runs.
064	030	2	000/030/064	opt	disqualified			42ep + lr=11 + label_smoothing 0.20→0.22: exp_060 scored 0.9596 (0.0004 below gate); slight ls increase targets the tiny accuracy gap without adding epochs.
065	030	2	000/030/065	aug	disqualified			Skip ALL 10 intermediate val_acc evaluate() calls from exp_030 (every-5-epoch schedule + final-step eval): pure logging overhead with zero training effect. Saves 10 × ~40ms ≈ 400ms vs exp_030.
066	030	2	000/030/066	opt	disqualified			42ep + lr=11 + momentum=0.85→0.90 + ls=0.20: momentum unexplored across all prior opt trials; kilostep normalization preserves gradient scale but reduces effective WD ~30%, targeting the 0.0004 accuracy gap that blocked all 42ep attempts (exp_060 acc=0.9596)
067	030	2	000/030/067	arch	disqualified			Proxy model widths {32,64,64}→{16,32,32}: proxy runs for all 43 epochs generating hard-example masks, halving channel dims saves ~66% proxy FLOPs (~2-3% total) with negligible mask-quality loss since the proxy only needs to rank examples by difficulty.
068	030	2	000/030/068	loss	disqualified			batch_size_masked 512→448 (−12.5% per-step main-model compute): trains on the 448 hardest examples per batch instead of 512, saving ~12.5% of main-model forward+backward FLOPs per step. 448×16/64/256 are all multiples of 128 (GPU tensor-core aligned → linear scaling). No new compile-graph nodes. Pure CE ls=0.20, 43ep base (exp_030).
072	068	3	000/030/068/072	loss	disqualified			batch_size_masked=448 + PolyLoss ε=2.0: exp_068 (448, CE) gave acc=0.9577 (−0.0026 vs gate). PolyLoss ε=2.0 should recover ~+0.003-0.004 accuracy. Speed benefit: ~2.5s from 12.5% less per-step main compute minus ~0.45s PolyLoss compile overhead = net ~2.0s saving at 43ep.
069	030	2	000/030/069	reg	disqualified			42 epochs + SWA uniform average of last 5 epoch snapshots (epochs 37-41): replaces failed shadow EMA (exp_063) with structurally different weight averaging; SWA finds wider flat minima that EMA misses, targeting +0.001-0.002 accuracy to clear the 0.96 gate 1 epoch faster
070	030	2	000/030/070	opt	keep	25.146400	-0.079500	42ep + lr=11 + warmup fraction 10%→5% (peak LR in ~2 epochs vs ~4): exp_060 (42ep+lr=11+warmup=10%) missed gate by 0.0004 (acc=0.9596); halving warmup gives more high-lr training steps, targeting that gap while saving ~0.6s vs exp_030.
075	070	3	000/030/070/075	loss	disqualified			41ep + ls=0.15 on exp_070 base (42ep+lr=11+warmup=5%): sharper targets via ls 0.20→0.15 may compensate for -1 epoch accuracy drop, targeting ~24.5s train_s if gate passes.
076	070	3	000/030/070/076	aug	disqualified			Reduce proxy training from 42→25 epochs (proxy_train_epochs=25): generates 1225 masks cycled 1.68× over 2058 main steps. exp_071 failed at 10 epochs (4.3× cycling); 25 epochs should provide much higher-quality masks while saving ~40% of proxy compute. Main training unchanged at 42ep+lr=11+warmup=5%.
077	070	3	000/030/070/077	opt	disqualified			41ep + lr=12: exp_070 (42ep+lr=11+warmup=5%) barely passes gate; lr=12 (+9%) × 41ep (−2.4% steps) gives ~6.5% more total gradient area under triangular LR curve, targeting equivalent or better convergence in one fewer epoch to save ~0.55s
078	070	3	000/030/070/078	arch	preflight_crash			Replace proxy model with self-paced loss caching: eliminate model_proxy compile+training entirely; main model's own per-example losses (cached from each step) drive hard-example selection via argsort. Saves proxy torch.compile warmup (~5-15s per seed) + proxy training time (~1-2s). Self-paced approach: initial random selection (example_losses initialized ~U[0,1]), then converges to hard-example mining as main model accumulates losses.
079	070	3	000/030/070/079	loss	disqualified			42ep + annealed label smoothing 0.30→0.10 (avg=0.20, same as baseline): redistributes regularization budget — heavier early for exploration, sharper gradients late for accuracy push. Proxy loss stays fixed at 0.20.
080	070	3	000/030/070/080	opt	disqualified			41ep + lr=12 + warmup 5%→2.5%: exp_077 (41ep+lr=12+warmup=5%) got acc=0.9596 (same miss as exp_060). exp_060→exp_070 recovered the gate by halving warmup 10%→5%; same fix applied here: 5%→2.5% targets the identical +0.0004 accuracy gap
081	070	3	000/030/070/081	arch	disqualified			Replace proxy model with self-paced loss caching (fix float16→float32 cast): eliminate model_proxy compile+training; main model's per-example losses drive hard-example selection.
082	070	3	000/030/070/082	reg	disqualified			41 epochs + Lookahead every-3-steps (vs every-5): 67% more Lookahead updates in the warmdown phase (~656 vs 393 at 41ep), providing stronger weight averaging when alpha is high (0.5–0.77). Saves ~0.6s vs exp_070 (42ep) if accuracy gate holds at ≥0.96.
083	070	3	000/030/070/083	arch	disqualified			Proxy compile mode max-autotune→reduce-overhead: exp_081 showed proxy costs ~3.45s total (21.7s without proxy vs 25.15s with). Most of that cost is torch.compile max-autotune warmup. Switching to reduce-overhead cuts proxy compile time while keeping same proxy training quality and mask generation.
084	070	3	000/030/070/084	aug	disqualified			41ep + progressive cutout removal: train with cutout=12 for epochs 1-36, then cutout=0 for final 5 epochs (37-41). The cutout-free late phase lets the model sharpen decision boundaries without masking, recovering the ~0.2% accuracy gap that plain 41ep recipes fail to bridge, while saving ~0.6s vs the 42ep best.
085	070	3	000/030/070/085	loss	disqualified			41ep + Poly-1 loss ε=1.0 on exp_070 base (lr=11, warmup=5%): PolyLoss adds ε*(1-p_t) to CE, sharpening gradient signal on hard examples; prior PolyLoss trials were at lr=9—first clean test at lr=11 where the extra per-step signal may bridge the 1-epoch accuracy gap.
086	070	3	000/030/070/086	opt	disqualified			41ep + lr=11 + cosine cooldown (5% warmup → cosine decay): exp_077 (41ep+lr=11+triangular) was disqualified at acc=0.9596 (gap=0.0004). Cosine keeps LR higher for first 75% of cooldown vs linear, giving more gradient signal in the bulk phase to recover those 0.0004 accuracy points while saving ~0.6s vs exp_070 (42ep).
087	070	3	000/030/070/087	reg	disqualified			41 epochs + Lookahead every-2-steps (vs every-3 in exp_082): exp_082 gave acc=0.9593, gap=0.0007 below gate. Every-2-steps adds 50% more Lookahead updates in final epochs (240 vs 160 in last 10 epochs) to close that gap.
088	070	3	000/030/070/088	loss	disqualified			Proxy loss label_smoothing 0.20→0.0: proxy's sole job is hard-example ranking via loss ordering; label smoothing dilutes CE values and blurs hard/easy discrimination. Sharper proxy loss → better mask quality → main model trains on higher-quality hard examples.
089	070	3	000/030/070/089	aug	disqualified			Proxy trains 42→35 epochs (saves ~0.575s; 1.2× mask cycling vs 1.68× for disqualified exp_076@25ep): proxy at 35ep is 83% trained and masks cycle only 20% of main steps, expected to maintain mask quality while saving ~17% of proxy compute.
090	070	3	000/030/070/090	reg	disqualified			41 epochs + stochastic depth drop_path_rate=0.1 on main model ConvGroup residuals: per-sample binary mask drops residual branch 10% of training steps, creating ensemble effect; structurally novel (no Lookahead/EMA overlap). Targets the 0.0007 accuracy gap at 41ep (exp_082/087 both hit ~0.9593).
091	070	3	000/030/070/091	arch	disqualified			Proxy depth=2→1: single Conv per ConvGroup stage in the proxy (widths {32,64,64} unchanged). Halves proxy conv ops per step (~2050 steps × 3 fewer conv layers), targeting ~0.7-1.5s savings from reduced proxy per-step compute and kernel launches. Main model {128,384,512} depth=3 unchanged.
092	070	3	000/030/070/092	loss	disqualified			41ep + ls=0.1 on exp_070 base: airbench94 uses ls=0.1 with this architecture; strong aug (cutout=12+translate=4) provides regularization; sharper targets may close the ~0.04% gap that prevents 41ep from passing gate (exp_075 tried ls=0.15 at 41ep and failed—ls=0.1 is a bigger jump)
093	070	3	000/030/070/093	arch	disqualified			Proxy widths {32,64,64}→{24,48,48} (depth=2 unchanged): exp_091 showed depth=1 {32,64,64} saves ~0.82s but misses accuracy by 0.0034. These widths (75% of current) give similar per-step compute to depth=1 {32,64,64} but retain two conv layers per block for better mask quality.
094	070	3	000/030/070/094	opt	preflight_crash			42ep + lr=11 + warmup=5% (exp_070 base) + Muon-style Newton-Schulz gradient orthogonalization for 2D weights: orthogonalizes gradient direction before each SGD step (preserving gradient norm so LR calibration unchanged). Improves spectral uniformity of updates. If accuracy at 42ep rises, follow-up with 41ep+orthog to save ~0.6s.
095	070	3	000/030/070/095	reg	disqualified			41 epochs + gradient clipping max_norm=1.0: clip_grad_norm_ before optimizer.step() stabilizes lr=11 aggressive steps; 41ep baseline misses gate by ~0.0004, clipping may smooth gradient spikes enough to recover that gap
096	070	3	000/030/070/096	aug	disqualified			42ep + batch Mixup (alpha=0.2) replacing cutout=12: remove spatial masking from loader (cutout→0), apply Beta(0.2,0.2) label-mixing at batch level in training loop; tests whether label-interpolation regularization substitutes for cutout at exp_070 base.
097	070	3	000/030/070/097	opt	disqualified			42ep + lr=11 + warmup=5% + Muon-style Newton-Schulz gradient orthogonalization for 2D weights (fix: reshape instead of view for channels-last tensors)
071	030	2	000/030/071	aug	disqualified			Reduce proxy training from 43→10 epochs, cycle masks over main training steps: proxy is a small model (32/64/64 widths depth=2) that trains for the full 43 epochs generating 2107 masks — cutting it to 10 epochs (490 masks) and cycling them saves proxy compute while augmentation diversity is maintained by the main data loader's per-epoch crops/flips.
073	030	2	000/030/073	arch	disqualified			Proxy training shortened 43→20 epochs with mask cycling: proxy generates 960 masks (itertools.cycle to 2064 main steps), saving ~53% of proxy compute (~0.6–0.8s wallclock).
074	030	2	000/030/074	reg	disqualified			42ep + SWA (uniform avg of epochs 37-41) + BN running-stat recompute after SWA load: exp_069 was disqualified because SWA parameters don't match stale BN running_mean/running_var; one forward pass through training data in train() mode fixes the mismatch. Expected ~+0.002-0.003 accuracy vs exp_069 + ~0.6s faster than 43ep baseline.
