exp_id	parent_exp	depth	path	specialist	status	core_metric	delta_vs_best	hypothesis
000		0	000	baseline	baseline	0.161800		calibrated baseline (1 trial, avg=0.161800)
001	000	1	000/001	sched	discard	0.159600	-0.002200	Couple weight decay to LR multiplier (WD ∝ LR) instead of independent cosine-to-zero decay, maintaining T_epoch = B/(η·λ·D) consistency throughout training.
002	000	1	000/002	arch	discard	0.159700	-0.002100	Replace relu^2 MLP (4x, hidden=3072) with SwiGLU (8/3x, hidden=2048) — parameter-neutral swap using SiLU-gated MLP, same init scheme.
003	000	1	000/003	opt	discard	0.159900	-0.001900	Increase Muon NorMuon variance-reduction beta2 from 0.9 to 0.95, matching the NorMuon paper recommendation for smoother per-neuron adaptive rates.
004	000	1	000/004	sys	discard	0.144400	-0.017400	Enable FP8 training (--fp8 flag) to use cuBLAS FP8 tensorwise dynamic scaling on GPU; same training steps as BF16 baseline, ~1.3-1.5x faster per step, d12 dims (≥768) all above the 128-filter threshold so all eligible layers convert.
005	000	1	000/005	data	discard	0.156100	-0.005700	Recover ~35% discarded tail tokens in BOS-bestfit packing: when cropping a document to fill a row, prepend BOS to the tail and return it to the buffer instead of discarding it, giving the model more unique training text per compute step.
006	000	1	000/006	sched	discard	0.160500	-0.001300	Cosine LR warmdown (replaces linear) + revert WD to cosine decay: cosine warmdown spends more time near peak LR early (≈0.86 vs 0.76 at 75% through warmdown), while reverting exp_001's harmful WD∝LR back to cosine-to-zero decay.
007	000	1	000/007	sys	keep	0.169500	+0.007700	Switch --window-pattern from SSSL to L: with PyTorch SDPA (no FA3 on environment), any sliding-window mask forces the slow math backend; only is_causal=True (enabled by L) uses the Flash SDPA kernel. 9/12 SSSL layers were on math backend; L puts all 12 on Flash (~3-5x faster attention). Also reverts FP8 (exp_004 degraded quality by -0.017). More context per step may improve convergence quality too.
011	007	2	000/007/011	opt	discard	0.135000	-0.034500	Adopt window-pattern=L (matching exp_007 best), revert lm_head betas to (0.8,0.96) (undo exp_008's harmful change), and fix x0_lambdas betas from (0.96,0.95) to (0.9,0.99): the original beta1>beta2 caused effective-LR to spike ~5.6x at step 1, destabilizing x0 blending in early training.
012	007	2	000/007/012	arch	discard	0.153800	-0.015700	Switch head-dim 128→64 (6 heads→12 heads, FLOP/param-neutral): more attention head diversity at 110M scale, matching GPT-2's head structure. Also aligns workdir to exp_007 state (window-pattern L, softcap 15, 0.4x c_fc init).
013	007	2	000/007/013	sched	discard	0.160600	-0.008900	Delay Muon WD decay to warmdown phase only: keep WD constant at WD_scaled during warmup+constant-LR, then cosine-decay to 0 during warmdown. Current cosine-over-all-training loses ~27% WD before warmdown even starts; this gives full regularization while LR is at peak, then relaxes WD together with LR during warmdown.
014	007	2	000/007/014	opt	discard	0.162800	-0.006700	Revert x0_lambdas betas (0.9,0.99)→(0.96,0.95) to fix exp_011's -0.035 regression; also zero resid_lambdas weight_decay (was 0.05, decaying residual-scale factors toward 0 by ~25% over training).
015	007	2	000/007/015	arch	discard	0.166000	-0.003500	Parallel residuals (PaLM-style): share pre-norm and add attn + MLP simultaneously instead of sequentially. Also reverts head_dim 64→128 (undoes discarded exp_012). Saves one RMSNorm per block, both sublayers see the same normalized input for cleaner gradient flow; c_proj zero-init keeps training start identical to sequential.
016	007	2	000/007/016	sched	discard	0.163100	-0.006400	Revert WD to cosine-over-all (undo exp_013's harmful constant+warmdown-cosine) + hold Muon momentum constant at 0.97 during warmdown (no 0.97→0.90 decay): LR already decays 65% of training; simultaneous momentum decay reduces gradient history, adding noise when smooth convergence is needed.
017	007	2	000/007/017	arch	discard	0.164100	-0.005400	Replace relu² MLP with SwiGLU (8/3 × hidden = 2048, same params as 4 × 768 relu²) on top of exp_007 base (sequential pre-norm, window-pattern=L). SwiGLU is dominant in modern LLMs; exp_002 tried it on SSSL (slow math backend) and got -0.002, but with L pattern all attention is on fast Flash SDPA so training dynamics differ.
018	007	2	000/007/018	opt	discard	0.156400	-0.013100	Restore resid_lambdas WD=0.05 (exp_014 wrongly zeroed it; exp_007 best had 0.05) + reduce Muon NorMuon beta2 0.9→0.85 for faster variance adaptation during the long warmdown phase
019	007	2	000/007/019	sched	discard	0.155800	-0.013700	True D2Z: reduce final-lr-frac from 0.05 to 0.0 — linear decay all the way to zero LR, backed by arxiv 2502.15938 showing D2Z consistently achieves lower loss than leaving a residual fraction at the end.
020	007	2	000/007/020	sys	keep	0.202900	+0.033400	Exploit window=L speedup: increase --target-param-data-ratio from 12 to 100, training 8x more tokens within the 90 min wall budget. exp_007 (ratio=12, window=L) finished in only 9 min; scaling to ratio=100 gives ~60 min total — well within budget. More training tokens (8x Chinchilla) directly improves CORE metric.
024	020	3	000/007/020/024	sys	keep	0.213900	+0.011000	Push ratio from 100→130 (30% more tokens), using remaining wall budget. exp_020 (ratio=100) ran in 61 min; ratio=130 estimated ~80 min, within the 90 min cap. Continuing to exploit the efficient window=L Flash-SDPA path for maximum CORE metric improvement.
029	024	4	000/007/020/024/029	sys	discard	0.202100	-0.022000	Push ratio 130→150 (+15% tokens) by freeing wall budget via: (a) device-batch-size 32→64 reducing grad_accum 2→1 (~2-4% throughput gain), (b) disabling mid-training BPB evals (eval-every=-1), (c) skipping ~7 mid-training CORE evals (core-metric-every=99999, final CORE still fires at last_step=True). Explicit total-batch-size=1048576 avoids divisibility assert.
034	024	4	000/007/020/024/034	sys	discard	0.210500	-0.013600	Disable mid-training evals (eval-every=-1, core-metric-every=99999) to reclaim ~17 min of overhead, then use that budget to push ratio 130→170 (+31% tokens). exp_029 revealed auto batch=524K for d12; without evals, ratio=150 at batch=524K costs ~73 min; ratio=170 estimated ~85 min total (final CORE at last_step still fires via last_step=True).
025	020	3	000/007/020/025	sched	keep	0.224100	+0.010200	Push --target-param-data-ratio from 100→130 on top of exp_020 (window=L, ratio=100, 0.2029): 30% more training tokens within the 90-min budget. For d12 D_REF==target_tokens so batch size stays 2^19; num_iterations scales linearly to ~27,274 steps. Estimated wall ~78 min (safe). More tokens should directly improve CORE metric further along the still-improving loss curve.
030	025	4	000/007/020/025/030	sched	discard	0.192400	-0.031700	Align LR warmup with Muon momentum warmup: increase --warmup-steps from 40 to 400. At ratio=130 (~27,274 steps), 40-step warmup is only 0.15% of training (was 1.6% at ratio=12). Steps 40-400 currently have full LR but still-ramping Muon momentum (0.85→0.97 over hardcoded 400 steps) — a 360-step LR/momentum mismatch. Setting warmup=400 aligns both, provides standard ~1.5% warmup, and should reduce early-training instability from mismatched optimizer state.
031	025	4	000/007/020/025/031	arch	discard	0.202100	-0.022000	Add learnable U-net skip connection from layer n//4=3 to layer 3n//4=9 (unet_lambda, zero-init=no-op at start). Inspired by modded-nanogpt's block-3→block-9 U-net pattern: gives late layers direct access to early-middle features. Adds 1 scalar parameter trained with AdamW.
032	025	4	000/007/020/025/032	data	discard	0.204700	-0.019400	Push --target-param-data-ratio from 130→155 (+19% tokens) and disable --eval-every (reclaims ~7 min of val_bpb overhead for actual training). Rebased on exp_025. Est. ~84 min wall: 73 min training + 3 min compile + 8 min CORE evals.
033	025	4	000/007/020/025/033	opt	discard	0.202700	-0.021400	On top of exp_025 config (ratio=130, Muon beta2=0.9): increase --unembedding-lr from 0.008 to 0.010 (+25%). The lm_head (768→32768) has been at 0.008 since baseline; at 27k steps the internal representations are well-trained and a slightly higher LR for the vocabulary projection may improve calibration without instability.
035	025	4	000/007/020/025/035	sched	discard	0.220800	-0.003300	Push --target-param-data-ratio from 130→140 (+7.7% more tokens) on top of exp_025 baseline: revert exp_030's broken warmup-steps=400 back to 40, and extend training. Timing: ~86 min estimated (ratio=130 ran ~80 min in exp_024). Linear token-scaling suggests ~+0.005 core_metric improvement.
036	025	4	000/007/020/025/036	arch	discard	0.200000	-0.024100	Replace hardcoded QK scale 1.2 with learnable per-layer per-head qk_scales (12×6=72 scalars, init=1.2): different layers and heads learn their optimal attention temperature. Starting at 1.2 makes early training identical to baseline; model discovers better sharpness per head/layer over training.
037	025	4	000/007/020/025/037	opt	discard	0.202900	-0.021200	Add MuonEq pre-orthogonalization equilibration (arXiv:2603.28254): row-normalize tall/square matrices and column-normalize wide matrices before polar express, equalizing neuron/feature contributions. Also revert --unembedding-lr 0.010→0.008 (exp_033's change was harmful, -0.021). Net change vs exp_025: MuonEq equilibration in muon_step_fused.
038	025	4	000/007/020/025/038	data	discard	0.188600	-0.035500	Sorted-buffer best-fit packing: replace O(n) linear scan over buffer_size=1000 with O(log n) bisect over buffer_size=10000. 10× larger doc pool dramatically reduces document cropping (~35%→~10%), yielding more complete (BOS-to-end) training documents per batch. Same ratio=130, eval-every=250 as exp_025; wall time unchanged.
039	025	4	000/007/020/025/039	sys	preflight_crash			Enable FP8 tensorwise matmuls (--fp8) on top of exp_025 base (window=L, ratio=130, BF16 baseline 0.2241). Prior exp_004 failed at ratio=12 (early chaotic training); at ratio=130 the model is in the stable warmdown regime where FP8 quantization noise should be less disruptive. the configured GPU environment has native FP8 support — torch._scaled_mm routes there directly for ~1.2x matmul speedup.
040	025	4	000/007/020/025/040	sys	preflight_crash			Enable FP8 tensorwise matmuls (--fp8) on top of exp_025 base (window=L, ratio=130, BF16 baseline 0.2241). Prior exp_004 failed at ratio=12 (early chaotic training); at ratio=130 the model is in the stable warmdown regime where FP8 quantization noise should be less disruptive. the configured GPU environment has native FP8 support — torch._scaled_mm routes there directly for ~1.2x matmul speedup.
041	025	4	000/007/020/025/041	sys	preflight_crash			Enable FP8 tensorwise matmuls (--fp8) on top of exp_025 base (window=L, ratio=130, BF16 baseline 0.2241). Prior exp_004 failed at ratio=12 (early chaotic training); at ratio=130 the model is in the stable warmdown regime where FP8 quantization noise should be less disruptive. the configured GPU environment has native FP8 support — torch._scaled_mm routes there directly for ~1.2x matmul speedup.
042	025	4	000/007/020/025/042	sched	discard	0.202600	-0.021500	Reduce --warmdown-ratio from 0.65→0.40 on exp_025 base (window=L, ratio=130): at 27K steps, current 65% warmdown leaves only 35% of steps at peak LR; 40% warmdown doubles the stable peak-LR phase (9,506→16,324 steps) while keeping a 10,900-step decay. Total compute unchanged.
043	025	4	000/007/020/025/043	data	discard	0.204100	-0.020000	Numpy sorted-buffer best-fit packing (buffer_size=4000, insort/bisect) on exp_025 config (window=L, ratio=130): replace Python lists + O(n) scan + torch.tensor() with numpy int64 arrays + O(log n) bisect + torch.from_numpy(), 4x larger buffer for better packing quality.
044	025	4	000/007/020/025/044	arch	discard	0.207100	-0.017000	Add per-head attention output gate (attn_gate): sigmoid(Linear(x[:12], n_head)) applied element-wise to each head's output before c_proj. Allows dynamic per-token per-head importance weighting. Init: uniform(0, 0.02) → sigmoid≈0.505 (near-neutral). Param cost negligible (72/layer × 12 = 864 total). On top of exp_025 (window=L, ratio=130, 0.2241).
045	025	4	000/007/020/025/045	opt	discard	0.202400	-0.021700	Increase NorMuon beta2 from 0.9→0.95 on exp_025 base (window=L, ratio=130): the NorMuon paper (arXiv:2510.05491) uses (β1,β2)=(0.95,0.95); the 20-step EMA window should give smoother variance estimates vs the 10-step window of exp_025 across the 27K-step / 17.7K-step warmdown run.
046	025	4	000/007/020/025/046	sys	discard	0.200600	-0.023500	Push --target-param-data-ratio from 130→145 on top of exp_025 base (window=L, BF16, 0.2241): 11.5% more training tokens. exp_035 (ratio=140) gave 0.2208 — only −0.003 from 0.2241, within the ~0.005 noise floor, so true optimum may be in the 130-145 range. Cut eval-every 250→500 to save ~8 min eval overhead; total wall estimated ~79-82 min. Same BF16 recipe, no vendor changes.
047	025	4	000/007/020/025/047	sched	discard	0.156900	-0.067200	Replace linear LR warmdown with cosine warmdown in get_lr_multiplier: same warmdown-ratio=0.65 and final-lr-frac=0.05 but cosine shape. At ratio=130 (~27K steps), warmdown covers 17.7K steps (65%); cosine maintains higher LR in the early-mid warmdown then drops steeply near the end, giving the optimizer more gradient budget at moderate LR before final refinement.
048	025	4	000/007/020/025/048	arch	discard	0.200300	-0.023800	Replace relu² MLP with SwiGLU (iso-param: d_ff=8/3×768=2048, combined c_fc 768→4096 split gate+val, c_proj 2048→768; 3×768×2048=2×768×3072). Modern LLMs (Llama, PaLM) show SwiGLU beats relu² for training quality, especially at longer horizons — at ratio=130 the gating mechanism has more steps to specialise.
049	025	4	000/007/020/025/049	opt	discard	0.202800	-0.021300	Add 2 cubic NS polishing iterations (ns_steps 5→7) after Polar Express: append (1.5, -0.5, 0) twice to polar_express_coeffs. The cubic NS f(s)=1.5s-0.5s³ has fixed point s=1 with derivative=0 (quadratic convergence), refining PE's output singular values (~0.5-1.5) to within ~0.01 of 1. Scale-neutral change (only affects update direction orthogonality, not magnitude).
050	025	4	000/007/020/025/050	data	discard	0.204600	-0.019500	Per-epoch shard shuffle for epoch 2+ on exp_025 base (window=L, ratio=130): at ratio=130 training needs ~14B tokens but ~169 shards only provide ~10.3B, so epoch 2 covers ~37% of training. Without shuffle, epoch 2 replays shard_00000→shard_00168 in the same order as epoch 1, biasing late-training gradients toward early-dataset content. The fix: shuffle shard order with a deterministic per-epoch seed (same across all 8 DDP ranks). Epoch 1 is untouched—identical to exp_025.
051	025	4	000/007/020/025/051	sys	discard	0.203500	-0.020600	Enable Flash Attention 3 by setting NANOCHAT_DISABLE_REMOTE_FA3=0: GPU is GPU (GPU), FA3's exact target. HF_HUB_OFFLINE=1 (already set) ensures cache-only load — no retry-storm risk. FA3 gives ~1.5× attention speedup vs cuDNN SDPA on seq_len=2048. If FA3 is pre-cached in this environment it loads and trains faster at same ratio=130, opening headroom for future higher-ratio runs. If not cached, try/except in flash_attention.py silently falls back to SDPA (no regression vs exp_025).
052	025	4	000/007/020/025/052	sched	discard	0.215100	-0.009000	Increase --final-lr-frac from 0.05→0.10 on exp_025 base (window=L, ratio=130, linear warmdown, 0.2241): the standard cosine/WSD schedule uses 10% as final LR fraction; our 5% may be ending training too abruptly. Doubling gives the terminal warmdown steps 2× more gradient signal while keeping the same linear shape and warmdown-ratio=0.65.
053	025	4	000/007/020/025/053	arch	discard	0.191400	-0.032700	Parallel attention+MLP blocks (PaLM-style): share one RMSNorm between attn and MLP — `nx=norm(x); x = x + attn(nx) + mlp(nx)` — instead of sequential double-norm. Saves 12 norms per forward pass; attn and MLP jointly refine the same representation. No parameter change. On exp_025 base (relu², ratio=130).
054	025	4	000/007/020/025/054	opt	discard	0.215800	-0.008300	Raise --matrix-lr from 0.02 to 0.025 (+25%) on clean exp_025 base (rebased, restored ns_steps=5). matrix_lr has never been tuned; at ratio=130 (~27K steps) the constant-LR phase is ~9.5K steps where a higher Muon peak LR could accelerate learning before the 65% warmdown. No vendor code changes — pure flag.
055	025	4	000/007/020/025/055	sys	discard	0.053400	-0.170700	Fix FA3 regression (NANOCHAT_DISABLE_REMOTE_FA3 setdefault=1) + add EMA weight averaging (decay=0.9999) during warmdown phase (~17.7K of 27.3K steps). Final CORE metric is evaluated with EMA weights instead of last-step weights; EMA averages across ~10K steps of the convergence trajectory, which SWA/checkpoint-averaging literature shows improves generalization by 1-3%.
056	025	4	000/007/020/025/056	data	discard	0.199000	-0.025100	Double best-fit buffer_size from 1000→2000 (unsorted) on exp_025 base (window=L, ratio=130): 2× more candidate docs reduces crop-and-discard from ~35%→~33%, giving the model marginally more unique token exposure per step. Prior sorted-buffer experiments (exp_038, exp_043) changed BOTH buffer size AND sort order—this isolates the pure size effect with the original unsorted O(n) scan. Also reverts exp_050's shard shuffle to clean exp_025 state.
057	025	4	000/007/020/025/057	sched	discard	0.187300	-0.036800	Replace cosine WD decay (0.28→0) with constant Muon weight decay throughout training on exp_025 base (window=L, ratio=130, 0.2241): with warmdown_ratio=0.65, WD was collapsing to near-zero for 65% of training steps, double-shrinking effective regularization alongside LR annealing. Constant WD=weight_decay_scaled maintains consistent Muon regularization through the full warmdown.
058	025	4	000/007/020/025/058	arch	discard	0.203200	-0.020900	Increase logit softcap from 15→30 on exp_025 base (window=L, ratio=130, sequential block): model has QK-norm which already stabilizes training, so softcap=15 is overly constraining at high training ratios; Gemma 2 uses 30 for final logits; wider cap lets the model express more confident predictions after 27K steps.
059	025	4	000/007/020/025/059	opt	discard	0.214700	-0.009400	Reduce --weight-decay from 0.28 to 0.10 on clean exp_025 base (window=L, ratio=130): literature (Moonlight 5.7T, Practical Efficiency of Muon arXiv:2505.02222 3.7B) uses WD=0.1–0.027 for Muon matrix params; our 0.28 is 3-10x higher. Muon's polar-express orthogonalization already provides implicit regularization; excessive WD may be over-constraining matrix norms.
060	025	4	000/007/020/025/060	data	discard	0.198500	-0.025600	Recycle cropped document tails back into the buffer (with BOS prepended) instead of discarding them, eliminating the ~35% token waste from the original crop-and-discard packing on exp_025 base (window=L, ratio=130, 0.2241).
061	025	4	000/007/020/025/061	sys	discard	0.212000	-0.012100	Add SWA (Stochastic Weight Averaging) over last 5% of training steps (~1364 steps at LR 5-12% of peak), swapped in only at final CORE eval. Also force-set NANOCHAT_DISABLE_REMOTE_FA3=1 (was setdefault, risking environment env override). Parent: exp_025 (sched, CORE=0.2241).
062	025	4	000/007/020/025/062	sched	discard	0.209800	-0.014300	Remove Muon momentum warmdown (keep 0.97 constant during LR warmdown instead of decaying 0.97→0.90) on exp_025 base (window=L, ratio=130, cosine WD). LR warmdown already cools the optimizer; double-cooling via momentum decay may over-suppress Muon during the 65% warmdown phase.
063	025	4	000/007/020/025/063	arch	discard	0.217900	-0.006200	Change --head-dim from 128→64, doubling n_head from 6→12 (n_kv_head also 6→12): pure flag change, parameter-neutral (all QKV/O projections stay 768×768). Standard GPT-2-small uses 12×64 heads; current 6×128 is non-standard for 768-dim. More heads → more diverse attention patterns per layer; smaller head-dim → each head learns more focused/specialized representations.
064	025	4	000/007/020/025/064	opt	discard	0.204000	-0.020100	Raise AdamW beta1 from 0.8→0.9 for lm_head, embedding, and value_embeds groups (keep beta2 unchanged). Aligns with Muon paper (arXiv:2502.16982) and KellerJordan repo recommendation; at ratio=130 (~27K steps) higher beta1 gives smoother gradient estimates for the critical vocab-prediction and input-embedding params.
065	025	4	000/007/020/025/065	sched	discard	0.209700	-0.014400	Lower --final-lr-frac from 0.05→0.02 on clean exp_025 base (window=L, ratio=130, 0.2241): exp_052 showed higher floor (0.10) was -0.009 worse, indicating lower floor should be better. LR ends at 2% of peak instead of 5%, giving more aggressive final convergence during the 65%-of-training warmdown phase.
066	025	4	000/007/020/025/066	sys	discard	0.205700	-0.018400	Enable FP8 tensorwise matmuls (--fp8=True) from clean exp_025 base (window=L, ratio=130, BF16 baseline 0.2241), with compile-safe fix: val_bpb eval now uses orig_model (uncompiled) inside disable_fp8 instead of the compiled model, avoiding torch.compile guard invalidation and recompilation storms that caused all 3 prior FP8 preflight crashes (exp_039-041). FP8 adds ~20% matmul speedup on GPU and quantization noise that may act as regularization at ratio=130.
067	025	4	000/007/020/025/067	arch	discard	0.199200	-0.024900	Increase RoPE base theta from 100000 to 500000 (Llama-3 style) on exp_025 base (window=L, ratio=130, head_dim=128). With theta=100K and head_dim=128 the mid-frequency channels (k≈32) have rotational period ≈ 2π√100K ≈ 1987 tokens, nearly equal to seq_len=2048, creating positional aliasing across the full sequence. Raising to 500K pushes that period to ≈ 4443 tokens, giving every position a unique encoding across all frequency bands. Zero-parameter, zero-compute-cost change.
068	025	4	000/007/020/025/068	opt	discard	0.220700	-0.003400	Clean test of NorMuon beta2 0.9→0.95 on rebased exp_025 (window=L, ratio=130): exp_045 (0.2024) was confounded by accumulated exp_033+037+049 state (ns_steps=7 etc.) not a clean base. NorMuon's norm-preserving renormalization means beta2 only redistributes update energy across neurons without changing total magnitude, so no LR compensation needed. NorMuon paper recommends beta2=0.95 for smoother per-neuron variance estimates.
069	025	4	000/007/020/025/069	data	discard	0.212000	-0.012100	Staggered shard assignment for DDP ranks (train only): rank j reads shards j, j+W, j+2W, … fully instead of all ranks sharing the same shard with row-group striding. Every gradient step now draws from 8 different corpus shards simultaneously, giving 8× more within-batch shard diversity vs. the original all-ranks-same-shard scheme. Val loader unchanged (original row-group striding on the single val shard).
070	025	4	000/007/020/025/070	sched	discard	0.201800	-0.022300	Lower Muon momentum warmdown endpoint from 0.90→0.85 in get_muon_momentum: same 0.97→X linear decay over warmdown phase but ending at 0.85 instead of 0.90. exp_062 proved momentum warmdown helps (+0.014 vs flat); lower endpoint reduces optimizer inertia during final cooldown for better convergence to local optimum.
071	025	4	000/007/020/025/071	sys	discard	0.212000	-0.012100	Add gradient clipping (max_norm=1.0) to base_train.py on clean exp_025 base (BF16, window=L, ratio=130): standard LLM pretraining practice (GPT-2/3, PaLM, LLaMA) that was completely absent from the training loop — clips combined gradient L2 norm before optimizer.step() to prevent AdamW parameter spikes.
072	025	4	000/007/020/025/072	arch	discard	0.211400	-0.012700	Add learnable RMSNorm scale (γ weight, init=1.0) to all 4 layer-norm sites: pre-attn (ln1) and pre-MLP (ln2) in each of 12 blocks, plus embedding norm (ln_emb) and final norm (ln_f). Currently the model uses bare RMSNorm with no learnable scale — unusual vs all modern LLMs (Llama, Mistral, Gemma). The γ weights add expressiveness: per-dimension magnitude control after normalization, complementing resid_lambdas (per-layer scalar) with per-feature tuning. Norm params routed to AdamW (not Muon — Muon requires 2D matrices). ~26K new params (<0.03% of 110M). QK-norm in attention keeps bare norm() — scale there is redundant with c_q/c_k projection weights.
073	025	4	000/007/020/025/073	opt	discard	0.211900	-0.012200	Reduce --matrix-lr from 0.02 to 0.016 (-20%) on clean exp_025 base (window=L, ratio=130, 0.2241). exp_054 tested the UP direction (0.025, -0.0083 worse) but the DOWN direction is unexplored. At ratio=130 (~27K steps with 65% warmdown = 17.7K decay steps), a more conservative Muon base LR may reduce overshooting during the long warmdown phase. Pure flag change, no vendor edits.
074	025	4	000/007/020/025/074	data	discard	0.215300	-0.008800	Clean ratio 130→140 (+7.7% training tokens) from a rebased exp_025 baseline. All prior ratio=140 trials (exp_035: 0.2208) ran from dirty workdirs with accumulated code changes; this is the first clean data-domain test of more tokens on top of the best known config.
075	025	4	000/007/020/025/075	sched	discard	0.206500	-0.017600	Couple WD decay to LR warmdown: hold WD constant at peak during warmup+stable phase, then cosine 1→0 only during the warmdown period. Vs current cosine-over-all-training which halves WD by step 35% of training (warmdown start). Stronger regularization during high-LR stable phase; same final WD=0.
076	025	4	000/007/020/025/076	sys	discard	0.210700	-0.013400	Remove BF16 cast before Polar Express in muon_step_fused: FP32 param gradients were being quantized to BF16 (7 mantissa bits) before orthogonalization and the subsequent weight update. Keeping everything in FP32 gives more accurate Muon updates. Overhead is <0.5% of step time.
077	025	4	000/007/020/025/077	arch	discard	0.196100	-0.028000	Change --head-dim from 128→96 on exp_025 base (window=L, ratio=130): n_head=8 (768/96), max attention logit 1.44×√96≈14.1 just below softcap=15 (minimal compression vs baseline 16.3>15). Unexplored sweet spot between head-dim=64/12heads (exp_063, 0.2179) and head-dim=128/6heads (baseline, 0.2241).
078	025	4	000/007/020/025/078	opt	discard	0.203400	-0.020700	Reduce NorMuon beta2 from 0.9 → 0.80 on clean exp_025 base (window=L, ratio=130): exp_068 showed 0.90 > 0.95 (slower-adapting hurt by -0.0034), so trying the opposite direction — faster variance adaptation. Lower beta2 means per-neuron step-size normalization converges in ~5 steps vs ~10, reducing early-training bias in the second moment estimate.
079	025	4	000/007/020/025/079	opt	discard	0.200900	-0.023200	Move ve_gate weights from Muon to AdamW (lr=0.2, matching smear_gate): ve_gate.weight (6×12, 432 params total across 6 layers) was inadvertently swept into matrix_params via list(self.transformer.h.parameters()), getting Muon's polar-express orthogonalization — inappropriate for tiny gating matrices. AdamW gives per-element adaptivity better suited to learning near-zero sigmoid gates; effective LR rises from ~0.028 (Muon) to 0.2 (AdamW), enabling faster gate adaptation. Consistent with smear_gate treatment.
080	025	4	000/007/020/025/080	sched	discard	0.220300	-0.003800	Increase --warmdown-ratio from 0.65→0.70 on exp_025 base (window=L, ratio=130, 0.2241): exp_042 showed reducing warmdown to 0.40 was very harmful (-0.022), meaning the decay phase is critical. Testing the unexplored opposite direction: 5% more warmdown (17,727→19,091 steps) for more gradual LR decay, at the cost of ~1,364 fewer stable peak-LR steps. Total compute unchanged (ratio=130 fixed).
081	025	4	000/007/020/025/081	data	discard	0.201900	-0.022200	Halve best-fit buffer_size from 1000→500 on clean exp_025 base (window=L, ratio=130): exp_056 (buffer=2000) hurt badly (−0.025), suggesting larger buffers create excessive length-clustering that harms gradient diversity. Smaller buffer preserves more temporal data locality and reduces O(n) Python scan overhead per position fill.
082	025	4	000/007/020/025/082	arch	discard	0.210300	-0.013800	Peri-LN: add post-norm to each sublayer output in Block.forward — x = x + norm(f(norm(x))) instead of x = x + f(norm(x)). Zero new parameters, bounds each block's residual contribution. Used in Gemma-3 (arXiv:2502.02732).
